phase_id,cycle_id,phase_name,phase_order,duration_seconds
CYC_0001_P1,CYC_0001,DIG,1,9.11
CYC_0001_P2,CYC_0001,LIFT,2,5.71
CYC_0001_P3,CYC_0001,SWING,3,6.78
CYC_0001_P4,CYC_0001,DUMP,4,5.41
CYC_0001_P5,CYC_0001,REPOSITION,5,7.58
CYC_0002_P1,CYC_0002,DIG,1,8.59
CYC_0002_P2,CYC_0002,LIFT,2,5.42
CYC_0002_P3,CYC_0002,SWING,3,6.93
CYC_0002_P4,CYC_0002,DUMP,4,5.25
CYC_0002_P5,CYC_0002,REPOSITION,5,7.5
CYC_0003_P1,CYC_0003,DIG,1,8.36
CYC_0003_P2,CYC_0003,LIFT,2,5.95
CYC_0003_P3,CYC_0003,SWING,3,6.49
CYC_0003_P4,CYC_0003,DUMP,4,5.17
CYC_0003_P5,CYC_0003,REPOSITION,5,7.53
CYC_0004_P1,CYC_0004,DIG,1,8.3
CYC_0004_P2,CYC_0004,LIFT,2,5.96
CYC_0004_P3,CYC_0004,SWING,3,7.12
CYC_0004_P4,CYC_0004,DUMP,4,5.39
CYC_0004_P5,CYC_0004,REPOSITION,5,9.31
CYC_0005_P1,CYC_0005,DIG,1,8.19
CYC_0005_P2,CYC_0005,LIFT,2,5.89
CYC_0005_P3,CYC_0005,SWING,3,6.82
CYC_0005_P4,CYC_0005,DUMP,4,5.65
CYC_0005_P5,CYC_0005,REPOSITION,5,8.01
CYC_0006_P1,CYC_0006,DIG,1,8.58
CYC_0006_P2,CYC_0006,LIFT,2,5.4
CYC_0006_P3,CYC_0006,SWING,3,6.58
CYC_0006_P4,CYC_0006,DUMP,4,5.68
CYC_0006_P5,CYC_0006,REPOSITION,5,7.06
CYC_0007_P1,CYC_0007,DIG,1,8.47
CYC_0007_P2,CYC_0007,LIFT,2,5.37
CYC_0007_P3,CYC_0007,SWING,3,6.54
CYC_0007_P4,CYC_0007,DUMP,4,5.13
CYC_0007_P5,CYC_0007,REPOSITION,5,9.36
CYC_0008_P1,CYC_0008,DIG,1,8.37
CYC_0008_P2,CYC_0008,LIFT,2,5.58
CYC_0008_P3,CYC_0008,SWING,3,6.85
CYC_0008_P4,CYC_0008,DUMP,4,5.52
CYC_0008_P5,CYC_0008,REPOSITION,5,8.7
CYC_0009_P1,CYC_0009,DIG,1,8.11
CYC_0009_P2,CYC_0009,LIFT,2,5.92
CYC_0009_P3,CYC_0009,SWING,3,6.62
CYC_0009_P4,CYC_0009,DUMP,4,5.64
CYC_0009_P5,CYC_0009,REPOSITION,5,8.36
CYC_0010_P1,CYC_0010,DIG,1,8.39
CYC_0010_P2,CYC_0010,LIFT,2,5.9
CYC_0010_P3,CYC_0010,SWING,3,6.65
CYC_0010_P4,CYC_0010,DUMP,4,5.66
CYC_0010_P5,CYC_0010,REPOSITION,5,7.3
CYC_0011_P1,CYC_0011,DIG,1,8.38
CYC_0011_P2,CYC_0011,LIFT,2,5.67
CYC_0011_P3,CYC_0011,SWING,3,6.9
CYC_0011_P4,CYC_0011,DUMP,4,5.12
CYC_0011_P5,CYC_0011,REPOSITION,5,11.0
CYC_0012_P1,CYC_0012,DIG,1,8.55
CYC_0012_P2,CYC_0012,LIFT,2,5.83
CYC_0012_P3,CYC_0012,SWING,3,6.49
CYC_0012_P4,CYC_0012,DUMP,4,5.68
CYC_0012_P5,CYC_0012,REPOSITION,5,9.0
CYC_0013_P1,CYC_0013,DIG,1,8.29
CYC_0013_P2,CYC_0013,LIFT,2,5.45
CYC_0013_P3,CYC_0013,SWING,3,6.82
CYC_0013_P4,CYC_0013,DUMP,4,5.48
CYC_0013_P5,CYC_0013,REPOSITION,5,8.59
CYC_0014_P1,CYC_0014,DIG,1,8.15
CYC_0014_P2,CYC_0014,LIFT,2,6.05
CYC_0014_P3,CYC_0014,SWING,3,6.64
CYC_0014_P4,CYC_0014,DUMP,4,5.52
CYC_0014_P5,CYC_0014,REPOSITION,5,8.67
CYC_0015_P1,CYC_0015,DIG,1,8.46
CYC_0015_P2,CYC_0015,LIFT,2,6.03
CYC_0015_P3,CYC_0015,SWING,3,6.77
CYC_0015_P4,CYC_0015,DUMP,4,5.54
CYC_0015_P5,CYC_0015,REPOSITION,5,9.81
CYC_0016_P1,CYC_0016,DIG,1,8.52
CYC_0016_P2,CYC_0016,LIFT,2,5.84
CYC_0016_P3,CYC_0016,SWING,3,6.65
CYC_0016_P4,CYC_0016,DUMP,4,5.23
CYC_0016_P5,CYC_0016,REPOSITION,5,9.5
CYC_0017_P1,CYC_0017,DIG,1,7.88
CYC_0017_P2,CYC_0017,LIFT,2,5.79
CYC_0017_P3,CYC_0017,SWING,3,7.27
CYC_0017_P4,CYC_0017,DUMP,4,5.32
CYC_0017_P5,CYC_0017,REPOSITION,5,8.49
CYC_0018_P1,CYC_0018,DIG,1,8.54
CYC_0018_P2,CYC_0018,LIFT,2,5.78
CYC_0018_P3,CYC_0018,SWING,3,6.48
CYC_0018_P4,CYC_0018,DUMP,4,5.4
CYC_0018_P5,CYC_0018,REPOSITION,5,9.34
CYC_0019_P1,CYC_0019,DIG,1,8.57
CYC_0019_P2,CYC_0019,LIFT,2,5.98
CYC_0019_P3,CYC_0019,SWING,3,6.65
CYC_0019_P4,CYC_0019,DUMP,4,5.59
CYC_0019_P5,CYC_0019,REPOSITION,5,7.99
CYC_0020_P1,CYC_0020,DIG,1,8.24
CYC_0020_P2,CYC_0020,LIFT,2,5.72
CYC_0020_P3,CYC_0020,SWING,3,6.85
CYC_0020_P4,CYC_0020,DUMP,4,5.72
CYC_0020_P5,CYC_0020,REPOSITION,5,8.96
CYC_0021_P1,CYC_0021,DIG,1,8.34
CYC_0021_P2,CYC_0021,LIFT,2,5.83
CYC_0021_P3,CYC_0021,SWING,3,6.44
CYC_0021_P4,CYC_0021,DUMP,4,5.83
CYC_0021_P5,CYC_0021,REPOSITION,5,6.94
CYC_0022_P1,CYC_0022,DIG,1,7.91
CYC_0022_P2,CYC_0022,LIFT,2,6.26
CYC_0022_P3,CYC_0022,SWING,3,6.93
CYC_0022_P4,CYC_0022,DUMP,4,5.5
CYC_0022_P5,CYC_0022,REPOSITION,5,7.81
CYC_0023_P1,CYC_0023,DIG,1,8.36
CYC_0023_P2,CYC_0023,LIFT,2,5.56
CYC_0023_P3,CYC_0023,SWING,3,6.27
CYC_0023_P4,CYC_0023,DUMP,4,5.56
CYC_0023_P5,CYC_0023,REPOSITION,5,7.3
CYC_0024_P1,CYC_0024,DIG,1,8.91
CYC_0024_P2,CYC_0024,LIFT,2,5.96
CYC_0024_P3,CYC_0024,SWING,3,6.35
CYC_0024_P4,CYC_0024,DUMP,4,5.56
CYC_0024_P5,CYC_0024,REPOSITION,5,9.08
CYC_0025_P1,CYC_0025,DIG,1,8.57
CYC_0025_P2,CYC_0025,LIFT,2,5.89
CYC_0025_P3,CYC_0025,SWING,3,6.58
CYC_0025_P4,CYC_0025,DUMP,4,5.34
CYC_0025_P5,CYC_0025,REPOSITION,5,7.15
CYC_0026_P1,CYC_0026,DIG,1,7.92
CYC_0026_P2,CYC_0026,LIFT,2,5.97
CYC_0026_P3,CYC_0026,SWING,3,6.1
CYC_0026_P4,CYC_0026,DUMP,4,5.53
CYC_0026_P5,CYC_0026,REPOSITION,5,8.42
CYC_0027_P1,CYC_0027,DIG,1,8.68
CYC_0027_P2,CYC_0027,LIFT,2,5.5
CYC_0027_P3,CYC_0027,SWING,3,6.29
CYC_0027_P4,CYC_0027,DUMP,4,5.92
CYC_0027_P5,CYC_0027,REPOSITION,5,8.88
CYC_0028_P1,CYC_0028,DIG,1,8.25
CYC_0028_P2,CYC_0028,LIFT,2,5.47
CYC_0028_P3,CYC_0028,SWING,3,6.67
CYC_0028_P4,CYC_0028,DUMP,4,5.61
CYC_0028_P5,CYC_0028,REPOSITION,5,8.93
CYC_0029_P1,CYC_0029,DIG,1,8.52
CYC_0029_P2,CYC_0029,LIFT,2,5.56
CYC_0029_P3,CYC_0029,SWING,3,7.02
CYC_0029_P4,CYC_0029,DUMP,4,5.46
CYC_0029_P5,CYC_0029,REPOSITION,5,8.15
CYC_0030_P1,CYC_0030,DIG,1,8.75
CYC_0030_P2,CYC_0030,LIFT,2,5.79
