cycle_id,machine_id,operator_id,timestamp,task_type,soil_condition,load_condition,cycle_time_seconds,fuel_used_l,load_amount_tons,idle_time_seconds,is_post_coaching
CYC_0001,EXC001,OP_EXP_001,2026-08-10T07:00:00,trenching,soft,medium,35.41,0.177,1.95,0.82,0
CYC_0002,EXC002,OP_EXP_001,2026-08-10T07:00:41,trenching,soft,medium,34.75,0.184,1.93,1.06,0
CYC_0003,EXC003,OP_EXP_001,2026-08-10T07:01:21,trenching,soft,medium,34.64,0.168,1.94,1.14,0
CYC_0004,EXC004,OP_EXP_001,2026-08-10T07:02:01,trenching,soft,medium,37.1,0.189,1.91,1.02,0
CYC_0005,EXC005,OP_EXP_001,2026-08-10T07:02:44,trenching,soft,medium,35.61,0.176,1.94,1.05,0
CYC_0006,EXC001,OP_EXP_001,2026-08-10T07:03:25,trenching,soft,medium,34.42,0.172,1.94,1.12,0
CYC_0007,EXC002,OP_EXP_001,2026-08-10T07:04:05,trenching,soft,medium,35.88,0.19,1.94,1.01,0
CYC_0008,EXC003,OP_EXP_001,2026-08-10T07:04:46,trenching,soft,medium,35.78,0.173,1.98,0.76,0
CYC_0009,EXC004,OP_EXP_001,2026-08-10T07:05:27,trenching,soft,medium,35.34,0.18,1.96,0.69,0
CYC_0010,EXC005,OP_EXP_001,2026-08-10T07:06:08,trenching,soft,medium,34.45,0.17,1.97,0.55,0
CYC_0011,EXC001,OP_EXP_001,2026-08-10T07:06:48,trenching,soft,medium,38.16,0.19,1.96,1.09,0
CYC_0012,EXC002,OP_EXP_001,2026-08-10T07:07:32,trenching,soft,medium,36.8,0.195,1.94,1.25,0
CYC_0013,EXC003,OP_EXP_001,2026-08-10T07:08:14,trenching,soft,medium,35.37,0.171,1.95,0.74,0
CYC_0014,EXC004,OP_EXP_001,2026-08-10T07:08:55,trenching,soft,medium,35.73,0.182,1.92,0.7,0
CYC_0015,EXC005,OP_EXP_001,2026-08-10T07:09:36,trenching,soft,medium,37.47,0.185,1.94,0.86,0
CYC_0016,EXC001,OP_EXP_001,2026-08-10T07:10:19,trenching,soft,medium,36.4,0.182,1.96,0.66,0
CYC_0017,EXC002,OP_EXP_001,2026-08-10T07:11:01,trenching,soft,medium,35.44,0.188,1.91,0.69,0
CYC_0018,EXC003,OP_EXP_001,2026-08-10T07:11:42,trenching,soft,medium,36.32,0.176,1.93,0.78,0
CYC_0019,EXC004,OP_EXP_001,2026-08-10T07:12:24,trenching,soft,medium,35.38,0.18,1.95,0.6,0
CYC_0020,EXC005,OP_EXP_001,2026-08-10T07:13:05,trenching,soft,medium,35.96,0.178,1.97,0.47,0
CYC_0021,EXC001,OP_EXP_001,2026-08-10T07:13:46,trenching,soft,medium,33.91,0.169,1.94,0.53,0
CYC_0022,EXC002,OP_EXP_001,2026-08-10T07:14:25,trenching,soft,medium,34.74,0.184,1.97,0.33,0
CYC_0023,EXC003,OP_EXP_001,2026-08-10T07:15:05,trenching,soft,medium,33.84,0.164,1.91,0.79,0
CYC_0024,EXC004,OP_EXP_001,2026-08-10T07:15:44,trenching,soft,medium,36.87,0.188,1.98,1.01,0
CYC_0025,EXC005,OP_EXP_001,2026-08-10T07:16:26,trenching,soft,medium,34.01,0.168,1.96,0.48,0
CYC_0026,EXC001,OP_EXP_001,2026-08-10T07:17:06,trenching,soft,medium,34.62,0.173,1.97,0.68,0
CYC_0027,EXC002,OP_EXP_001,2026-08-10T07:17:46,trenching,soft,medium,35.47,0.188,1.97,0.2,0
CYC_0028,EXC003,OP_EXP_001,2026-08-10T07:18:27,trenching,soft,medium,35.79,0.173,1.97,0.86,0
CYC_0029,EXC004,OP_EXP_001,2026-08-10T07:19:08,trenching,soft,medium,35.56,0.181,1.96,0.85,0
CYC_0030,EXC005,OP_EXP_001,2026-08-10T07:19:49,trenching,soft,medium,34.19,0.169,1.94,1.19,0
CYC_0031,EXC001,OP_EXP_001,2026-08-10T07:20:29,trenching,soft,medium,36.57,0.183,1.98,0.75,0
CYC_0032,EXC002,OP_EXP_001,2026-08-10T07:21:11,trenching,soft,medium,35.74,0.189,1.97,0.68,0
CYC_0033,EXC003,OP_EXP_001,2026-08-10T07:21:52,trenching,soft,medium,37.32,0.181,1.91,1.36,0
CYC_0034,EXC004,OP_EXP_001,2026-08-10T07:22:35,trenching,soft,medium,36.94,0.188,1.98,1.26,0
CYC_0035,EXC005,OP_EXP_001,2026-08-10T07:23:17,trenching,soft,medium,34.54,0.171,1.93,0.58,0
CYC_0036,EXC001,OP_EXP_001,2026-08-10T07:23:57,trenching,soft,medium,37.11,0.185,1.94,0.95,0
CYC_0037,EXC002,OP_EXP_001,2026-08-10T07:24:40,trenching,soft,medium,35.26,0.187,1.94,0.77,0
CYC_0038,EXC003,OP_EXP_001,2026-08-10T07:25:21,trenching,soft,medium,34.65,0.168,1.97,0.94,0
CYC_0039,EXC004,OP_EXP_001,2026-08-10T07:26:01,trenching,soft,medium,35.24,0.179,1.94,0.72,0
CYC_0040,EXC005,OP_EXP_001,2026-08-10T07:26:42,trenching,soft,medium,35.49,0.175,1.95,0.7,0
CYC_0041,EXC001,OP_EXP_001,2026-08-10T07:27:23,trenching,soft,medium,36.38,0.182,1.96,0.4,0
CYC_0042,EXC002,OP_EXP_001,2026-08-10T07:28:05,trenching,soft,medium,35.17,0.186,1.97,0.62,0
CYC_0043,EXC003,OP_EXP_001,2026-08-10T07:28:46,trenching,soft,medium,36.56,0.177,1.94,0.74,0
CYC_0044,EXC004,OP_EXP_001,2026-08-10T07:29:28,trenching,soft,medium,34.64,0.176,1.94,1.06,0
CYC_0045,EXC005,OP_EXP_001,2026-08-10T07:30:08,trenching,soft,medium,35.93,0.178,1.96,1.02,0
CYC_0046,EXC001,OP_EXP_001,2026-08-10T07:30:49,trenching,soft,medium,34.1,0.17,1.95,0.74,0
CYC_0047,EXC002,OP_EXP_001,2026-08-10T07:31:29,trenching,soft,medium,34.42,0.182,1.97,0.96,0
CYC_0048,EXC003,OP_EXP_001,2026-08-10T07:32:09,trenching,soft,medium,35.87,0.174,1.96,0.82,0
