timestamp,cycle_id,machine_id,operator_id,phase,engine_hours,engine_rpm,fuel_rate_l_hr,bucket_load_pct,hydraulic_pressure_bar,hydraulic_temp_c,boom_angle_deg,arm_angle_deg,bucket_angle_deg,machine_speed_kmh,seatbelt_status,task_type,soil_condition,load_condition
2026-08-10T07:00:00,CYC_0001,EXC001,OP_EXP_001,DIG,1540.5,1859,25.5,25.0,237.1,74.7,23.7,47.2,26.0,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:01,CYC_0001,EXC001,OP_EXP_001,DIG,1540.501,1992,20.26,33.0,259.3,77.2,22.9,46.5,39.4,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:02,CYC_0001,EXC001,OP_EXP_001,DIG,1540.501,1838,21.85,41.0,246.2,73.9,26.5,49.6,35.5,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:03,CYC_0001,EXC001,OP_EXP_001,DIG,1540.501,1913,23.34,49.0,313.3,74.1,24.6,47.6,46.6,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:04,CYC_0001,EXC001,OP_EXP_001,DIG,1540.501,1873,21.78,57.0,285.4,75.6,21.7,52.1,52.0,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:05,CYC_0001,EXC001,OP_EXP_001,DIG,1540.502,1746,23.17,65.0,269.0,73.0,27.0,57.8,67.3,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:06,CYC_0001,EXC001,OP_EXP_001,DIG,1540.502,1817,24.79,73.0,262.9,73.9,26.0,62.1,83.3,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:07,CYC_0001,EXC001,OP_EXP_001,DIG,1540.502,1878,22.17,81.0,280.5,73.0,28.6,68.3,71.1,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:08,CYC_0001,EXC001,OP_EXP_001,DIG,1540.503,1869,20.48,89.0,289.1,73.7,19.5,61.2,83.0,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:09,CYC_0001,EXC001,OP_EXP_001,LIFT,1540.503,1794,18.33,87.9,228.5,76.0,30.8,71.1,91.0,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:10,CYC_0001,EXC001,OP_EXP_001,LIFT,1540.503,1772,19.64,92.0,260.2,74.4,33.0,68.2,81.5,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:11,CYC_0001,EXC001,OP_EXP_001,LIFT,1540.503,1790,18.94,95.1,234.6,72.5,43.0,70.1,86.5,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:12,CYC_0001,EXC001,OP_EXP_001,LIFT,1540.504,1777,19.65,94.2,221.0,72.2,47.6,72.8,91.1,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:13,CYC_0001,EXC001,OP_EXP_001,LIFT,1540.504,1807,20.17,95.3,222.9,69.2,45.4,76.0,89.7,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:14,CYC_0001,EXC001,OP_EXP_001,LIFT,1540.504,1802,19.8,95.4,233.9,75.9,52.6,63.9,84.5,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:15,CYC_0001,EXC001,OP_EXP_001,SWING,1540.504,1696,18.3,87.3,207.8,74.6,55.5,63.2,90.2,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:16,CYC_0001,EXC001,OP_EXP_001,SWING,1540.505,1610,17.14,87.8,209.1,72.8,54.6,66.2,87.2,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:17,CYC_0001,EXC001,OP_EXP_001,SWING,1540.505,1698,16.82,98.9,167.9,72.3,52.3,68.5,87.4,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:18,CYC_0001,EXC001,OP_EXP_001,SWING,1540.505,1673,15.56,98.8,186.2,72.0,55.6,67.6,85.7,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:19,CYC_0001,EXC001,OP_EXP_001,SWING,1540.506,1693,16.96,92.9,183.2,73.5,55.2,67.7,88.5,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:20,CYC_0001,EXC001,OP_EXP_001,SWING,1540.506,1679,16.38,90.9,193.1,76.2,52.1,66.1,85.0,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:21,CYC_0001,EXC001,OP_EXP_001,SWING,1540.506,1648,18.78,93.6,203.8,70.3,50.9,67.0,86.8,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:22,CYC_0001,EXC001,OP_EXP_001,DUMP,1540.506,1690,16.69,90.0,199.0,73.6,50.5,69.7,90.0,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:23,CYC_0001,EXC001,OP_EXP_001,DUMP,1540.507,1667,18.25,73.6,189.8,75.9,50.6,73.4,76.2,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:24,CYC_0001,EXC001,OP_EXP_001,DUMP,1540.507,1756,18.45,57.2,187.3,76.1,50.4,70.8,66.6,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:25,CYC_0001,EXC001,OP_EXP_001,DUMP,1540.507,1700,17.82,40.8,178.3,74.6,50.7,69.2,50.1,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:26,CYC_0001,EXC001,OP_EXP_001,DUMP,1540.507,1615,17.39,24.4,200.1,72.5,50.8,75.1,42.8,0.0,FASTENED,trenching,soft,medium
2026-08-10T07:00:27,CYC_0001,EXC001,OP_EXP_001,REPOSITION,1540.508,1686,15.88,5.0,176.1,74.1,34.0,43.1,32.2,2.28,FASTENED,trenching,soft,medium
2026-08-10T07:00:28,CYC_0001,EXC001,OP_EXP_001,REPOSITION,1540.508,1777,17.56,5.0,168.6,72.1,31.4,47.2,33.6,2.78,FASTENED,trenching,soft,medium
